,Actor,Ranking
253,John Oliver,B
254,Joaquin Phoenix,B
255,Jodie Foster,B
256,Christoph Waltz,B
257,Joseph Gordon-Levitt,B
258,James Spader,B
259,Jon Hamm,B
260,Andrew Garfield,B
261,Katherine Waterston,B
262,Milla Jovovich,B
263,Brendan Fraser,B
264,Alfre Woodard,B
265,Daniel Kaluuya,B
266,Selena Gomez,B
267,Tyrese Gibson,B
268,Tom McGrath,B
269,Ryan Gosling,B
270,Maggie Smith,B
271,Jet Li,B
272,Mindy Kaling,B
273,Shahadi Wright Joseph,B
274,Billy Eichner,B
275,John Kani,B
276,Florence Kasumba,B
277,Eric Andre,B
278,JD McCrary,B
279,Cedric the Entertainer,B
280,Meg Ryan,B
281,Patrick Wilson,B
282,Dan Stevens,B
283,Halle Berry,B
284,James Franco,B
285,Annette Bening,B
286,Sean Connery,B
287,Jessica Alba,B
288,Dakota Johnson,B
289,Dylan O’Brien,B
290,Jeff Goldblum,B
291,Georgie Henley,B
292,Skandar Keynes,B
293,Glenn Close,B
294,Matthew Broderick,B
295,Martin Lawrence,B
296,Guy Pearce,B
297,Susan Sarandon,B
298,Sigourney Weaver,B
299,Paul Newman,B
300,Robbie Coltrane,B
301,Jason Sudeikis,B
302,Dan Fogler,B
303,Domhnall Gleeson,B
304,Melissa McCarthy,B
305,Seth MacFarlane,B
306,Isla Fisher,B
307,Rami Malek,B
308,Jai Courtney,B
309,Anna Kendrick,B
310,Steve Buscemi,B
311,Stanley Tucci,B
312,Joonas Suotamo,B
313,Alison Sudol,B
314,Dominic Cooper,B
315,Elizabeth Banks,B
316,Felicity Jones,B
317,Jesse McCartney,B
318,Gugu Mbatha-Raw,B
319,Eiza González,B
320,Hailee Steinfeld,B
321,Chris ‘Ludacris’ Bridges,B
322,John Malkovich,B
323,Jordana Brewster,B
324,Julianne Moore,B
325,Marisa Tomei,B
326,Helen Mirren,B
327,Matthew Gray Gubler,B
328,Tom Wilkinson,B
329,Michelle Monaghan,B
330,Hannibal Buress,B
331,Rebel Wilson,B
332,Salma Hayek,B
333,Djimon Hounsou,B
334,Wesley Snipes,B
335,Kenneth Branagh,B
336,Ian McShane,B
337,Lake Bell,B
338,John Cho,B
339,Diane Keaton,B
340,Rebecca Ferguson,B
341,Anna Faris,B
342,Andy Richter,B
343,Gwendoline Christie,B
344,Viola Davis,B
345,Jenny Slate,B
346,Patrick Gallagher,B
347,Mizuo Peck,B
348,Kelly Marie Tran,B
349,Jamie Dornan,B
350,Mila Kunis,B
351,Eric Stonestreet,B
352,Ice Cube,B
353,Keri Russell,B
354,Heath Ledger,B
355,Judi Dench,B
356,Christopher Walken,B
357,Edward Norton,B
358,Elizabeth Debicki,B
359,Jonathan Groff,B
360,Jordan Peele,B
361,Chloë Grace Moretz,B
362,Ginnifer Goodwin,B
363,Santino Fontana,B
364,Richard Dreyfuss,B
365,Naomi Scott,B
366,Awkwafina,B
367,Audra McDonald,B
368,Wanda Sykes,B
369,Huck Milner,B
370,Nathalie Emmanuel,B
371,Ellen Page,B
372,Zachary Quinto,B
373,Nick Nolte,B
374,Nathan Lane,B
375,Craig Ferguson,B
376,Diego Luna,B
377,Paula Patton,B
378,Noomi Rapace,B
379,Tessa Thompson,B
380,Teri Polo,B
381,Bette Midler,B
382,Danny Glover,B
383,Sarah Jessica Parker,B
384,James Corden,B
385,Maya Rudolph,B
386,Hannah John-Kamen,B
387,Amy Poehler,B
388,Roger Moore,B
389,Amber Heard,B
390,Mickey Rourke,B
391,Richard Harris,B
392,Christopher Mintz-Plasse,B
393,Seann William Scott,B
394,Ashton Kutcher,B
395,Karen Allen,B
396,John Cena,B
397,Ellie Kemper,B
398,Lily James,B
399,Bill Skarsgård,B
400,Frances McDormand,C
401,Katherine Heigl,C
402,Conrad Vernon,C
403,Blythe Danner,C
404,Sofia Boutella,C
405,Jeremy Irons,C
406,Barbra Streisand,C
407,Rose Byrne,C
408,Emilia Clarke,C
409,Shailene Woodley,C
410,Yahya Abdul-Mateen II,C
411,Dana Carvey,C
412,Eric Bana,C
413,Stellan Skarsgård,C
414,Christine Baranski,C
415,William Moseley,C
416,Anna Popplewell,C
417,Joel Kinnaman,C
418,Lee Pace,C
419,Clark Gregg,C
420,Lashana Lynch,C
421,Gemma Chan,C
422,Josh Hutcherson,C
423,Eva Green,C
424,Sarah Silverman,C
425,Christina Hendricks,C
426,Michael Shannon,C
427,Freida Pinto,C
428,Haley Joel Osment,C
429,Aaron Eckhart,C
430,Byung-hun Lee,C
431,Keke Palmer,C
432,Elle Fanning,C
433,Annie Potts,C
434,Trey Parker,C
435,Benjamin Bratt,C
436,Adewale Akinnuoye-Agbaje,C
437,Jimmy Vee,C
438,Tony Hale,C
439,Patrick Swayze,C
440,Patton Oswalt,C
441,Alicia Vikander,C
442,Goldie Hawn,C
443,Marwan Kenzari,C
444,Navid Negahban,C
445,Mena Massoud,C
446,Sharon Stone,C
447,Cara Delevingne,C
448,William Shatner,C
449,Octavia Spencer,C
450,Will Poulter,C
451,Zhang Hanyu,C
452,Ving Rhames,C
453,Charlie Day,C
454,Dan Whitney,C
455,Christopher Eccleston,C
456,Kaya Scodelario,C
457,Jake Lloyd,C
458,Steve Coogan,C
459,Ray Winstone,C
460,Jennifer Garner,C
461,Sienna Miller,C
462,Benjamin Barnes,C
463,Armie Hammer,C
464,Diane Lane,C
465,Zachary Levi,C
466,Chao Deng,C
467,Gael Garcia Bernal,C
468,Gary Oldman,C
469,Jared Leto,C
470,Christina Ricci,C
471,Val Kilmer,C
472,Rihanna,C
473,Dan Aykroyd,C
474,Kevin Spacey,C
475,Tiffany Haddish,C
476,Giancarlo Esposito,C
477,Robert Guillaume,C
478,Ernie Sabella,C
479,Jonathan Taylor Thomas,C
480,Mark Strong,C
481,Ron Perlman,C
482,Justin Timberlake,C
483,Justin Bartha,C
484,Chris Miller,C
485,Jack Davenport,C
486,Neel Sethi,C
487,Marion Cotillard,C
488,Gene Hackman,C
489,Kirsten Dunst,C
490,Joel Edgerton,C
491,George Lopez,C
492,Tyler Perry,C
493,Tracy Morgan,C
494,Lewis Black,C
495,Heather Graham,C
496,Barry Humphries,C
497,Mandy Moore,C
498,Bill Pullman,C
499,Charlie Sheen,C
500,Jay Hernandez,C
501,Naomi Watts,C
502,Thomas Brodie-Sangster,C
503,Maria Bello,C
504,Brittany Snow,C
505,Jonathan Winters,C
506,Katy Perry,C
507,Jaden Smith,C
508,Dave Franco,C
509,Karan Soni,C
510,Dev Patel,C
511,Macaulay Culkin,C
512,Louis C.K.,C
513,Toby Kebbell,C
514,Ken Jeong,C
515,Adam Beach,C
516,Bobby Moynihan,C
517,Kristin Davis,C
518,Clive Owen,C
519,Xu Zheng,C
520,Tye Sheridan,C
521,Diane Kruger,C
522,Michael Rooker,C
523,Audrey Tautou,C
524,Freddie Highmore,C
525,Ioan Gruffudd,C
526,Zach Braff,C
527,Phyllis Smith,C
528,Daniel Stern,C
529,Zhang Ziyi,C
530,Vera Farmiga,C
531,Chris Tucker,C
532,Michael Nyqvist,C
533,Ike Barinholtz,C
534,Brianna Hildebrand,C
535,Sam Rockwell,C
536,Regina Hall,C
537,Jason Clarke,C
538,Huang Bo,C
539,Jennifer Connelly,C
540,John Heard,C
541,Carmen Ejogo,C
542,Anton Yelchin,C
543,Rosie O'Donnell,C
544,Hilary Swank,C
545,Christopher Lloyd,C
546,Samantha Morton,C
547,Rosamund Pike,C
548,Logan Lerman,C
549,Abigail Breslin,C
550,Edward Burns,C
551,Julie Andrews,C
552,Henry Thomas,C
553,Ethan Hawke,C
554,Scott Eastwood,C
555,Daniel Day-Lewis,C
556,Jack McBrayer,C
557,Terry Crews,C
558,Mark Rylance,C
559,Anthony Gonzalez,C
560,Danny McBride,C
561,Terrence Howard,C
562,Patrick Dempsey,C
563,Ben Foster,C
564,John Candy,C
565,Jackie Earle Haley,C
566,Sean Harris,C
567,Morena Baccarin,C
568,Leslie Uggams,C
569,Stefan Kapicic,C
570,Zazie Beetz,C
571,Jessica Chastain,C
572,Whoopi Goldberg,C
573,James Caviezel,C
574,Taylor Kitsch,C
575,Walton Goggins,C
576,Janeane Garofalo,C
577,Toni Collette,C
578,Jason Lee,C
579,Alison Brie,C
580,Bernie Mac,C
581,Charlie Hunnam,C
582,Vanessa Kirby,C
583,Omar Sy,C
584,Jeff Daniels,C
585,Kate McKinnon,C
586,Anil Kapoor,C
587,Gina Rodriguez,C
588,Rick Moranis,C
589,Karen Fukuhara,C
590,Theo James,C
591,Sean Penn,C
592,Ben Whishaw,C
593,Snoop Dogg,C
594,Lea Seydoux,C
595,Garrett Hedlund,C
596,Russell Brand,C
597,Jessica Biel,C
598,Edward Asner,C
599,Jordan Nagai,C
